sample_id,overlap_if_col0,overlap_if_col1,chosen_source,kept_features_before_dedup,final_features_after_dedup
Sample10_DX,0,26971,col1,33538,30397
Sample11_DX,0,26971,col1,33538,30397
Sample12_DX,0,26971,col1,33538,30397
Sample13_DX,0,26971,col1,33538,30397
Sample14_DX,0,26971,col1,33538,30397
Sample16_DX,0,26286,col1,36601,32401
Sample17_DX,0,26286,col1,36601,32401
Sample18_DX,0,26286,col1,36601,32401
Sample19_DX,0,26286,col1,36601,32401
Sample1_DX,0,26971,col1,33538,30397
Sample20_DX,0,26286,col1,36601,32401
Sample2_DX,0,26971,col1,33538,30397
Sample3_DX,0,26971,col1,33538,30397
Sample4_DX,0,26971,col1,33538,30397
Sample5_DX,0,26971,col1,33538,30397
Sample6_DX,0,26971,col1,33538,30397
Sample7_DX,0,26971,col1,33538,30397
Sample8_DX,0,26971,col1,33538,30397
Sample9_DX,0,26971,col1,33538,30397
