sample_id,gsm,sample_base,timepoint,total_cells,pred_malignant_cells,pred_normal_cells,pred_malignant_frac,pred_normal_frac
Sample1_DX,GSM7511998,Sample1,DX,4265,4067,198,0.9535756154747949,0.046424384525205156
Sample10_DX,GSM7512012,Sample10,DX,1431,1341,90,0.9371069182389937,0.06289308176100629
Sample11_DX,GSM7512013,Sample11,DX,3047,2716,331,0.8913685592385954,0.10863144076140466
Sample12_DX,GSM7512014,Sample12,DX,2276,2115,161,0.929261862917399,0.07073813708260106
Sample13_DX,GSM7512015,Sample13,DX,3821,3638,183,0.95210677833028,0.04789322166971997
Sample14_DX,GSM7512016,Sample14,DX,4134,3394,740,0.8209966134494436,0.17900338655055636
Sample16_DX,GSM7512019,Sample16,DX,4278,2947,1331,0.6888733052828424,0.31112669471715754
Sample17_DX,GSM7512021,Sample17,DX,3442,2201,1241,0.6394538059267868,0.36054619407321326
Sample18_DX,GSM7512023,Sample18,DX,4848,1657,3191,0.3417904290429043,0.6582095709570958
Sample19_DX,GSM7512025,Sample19,DX,4430,3921,509,0.8851015801354402,0.11489841986455981
Sample2_DX,GSM7511999,Sample2,DX,3495,2128,1367,0.6088698140200286,0.3911301859799714
Sample20_DX,GSM7512027,Sample20,DX,5041,4331,710,0.8591549295774648,0.14084507042253522
Sample3_DX,GSM7512000,Sample3,DX,2679,2111,568,0.7879805897723031,0.2120194102276969
Sample4_DX,GSM7512002,Sample4,DX,4268,3149,1119,0.7378163074039362,0.2621836925960637
Sample5_DX,GSM7512003,Sample5,DX,2964,2680,284,0.9041835357624831,0.09581646423751687
Sample6_DX,GSM7512006,Sample6,DX,9588,8543,1045,0.8910095953274927,0.1089904046725073
Sample7_DX,GSM7512009,Sample7,DX,3457,2577,880,0.74544402661267,0.25455597338733005
Sample8_DX,GSM7512010,Sample8,DX,3057,2737,320,0.8953222113182859,0.1046777886817141
Sample9_DX,GSM7512011,Sample9,DX,3965,3627,338,0.9147540983606557,0.08524590163934426
