gsm,sample_base,timepoint,sample_id,n_cells,n_genes,matrix_nnz
GSM7511998,Sample1,DX,Sample1_DX,4265,33538,5473169
GSM7512012,Sample10,DX,Sample10_DX,1431,33538,1346114
GSM7512013,Sample11,DX,Sample11_DX,3047,33538,3846211
GSM7512014,Sample12,DX,Sample12_DX,2276,33538,2308038
GSM7512015,Sample13,DX,Sample13_DX,3821,33538,5102106
GSM7512016,Sample14,DX,Sample14_DX,4134,33538,6649190
GSM7512019,Sample16,DX,Sample16_DX,4278,36613,10424130
GSM7512021,Sample17,DX,Sample17_DX,3442,36613,5505455
GSM7512023,Sample18,DX,Sample18_DX,4848,36601,5788057
GSM7512025,Sample19,DX,Sample19_DX,4430,36613,9918745
GSM7511999,Sample2,DX,Sample2_DX,3495,33538,5364184
GSM7512027,Sample20,DX,Sample20_DX,5041,36613,9434668
GSM7512000,Sample3,DX,Sample3_DX,2679,33538,4648419
GSM7512002,Sample4,DX,Sample4_DX,4268,33538,8464857
GSM7512003,Sample5,DX,Sample5_DX,2964,33538,2116267
GSM7512006,Sample6,DX,Sample6_DX,9588,33538,8673082
GSM7512009,Sample7,DX,Sample7_DX,3457,33538,5351900
GSM7512010,Sample8,DX,Sample8_DX,3057,33538,2375360
GSM7512011,Sample9,DX,Sample9_DX,3965,33538,5078985
