gsm,sample_base,timepoint,sample_id,n_cells,n_gex_features,matrix_nnz
GSM7511998,Sample1,DX,Sample1_DX,4265,30397,5450296
GSM7512012,Sample10,DX,Sample10_DX,1431,30397,1340104
GSM7512013,Sample11,DX,Sample11_DX,3047,30397,3832037
GSM7512014,Sample12,DX,Sample12_DX,2276,30397,2298107
GSM7512015,Sample13,DX,Sample13_DX,3821,30397,5081341
GSM7512016,Sample14,DX,Sample14_DX,4134,30397,6620952
GSM7512019,Sample16,DX,Sample16_DX,4278,32401,10333229
GSM7512021,Sample17,DX,Sample17_DX,3442,32401,5459421
GSM7512023,Sample18,DX,Sample18_DX,4848,32401,5751691
GSM7512025,Sample19,DX,Sample19_DX,4430,32401,9841708
GSM7511999,Sample2,DX,Sample2_DX,3495,30397,5338165
GSM7512027,Sample20,DX,Sample20_DX,5041,32401,9358307
GSM7512000,Sample3,DX,Sample3_DX,2679,30397,4621698
GSM7512002,Sample4,DX,Sample4_DX,4268,30397,8421751
GSM7512003,Sample5,DX,Sample5_DX,2964,30397,2104747
GSM7512006,Sample6,DX,Sample6_DX,9588,30397,8640122
GSM7512009,Sample7,DX,Sample7_DX,3457,30397,5326883
GSM7512010,Sample8,DX,Sample8_DX,3057,30397,2366897
GSM7512011,Sample9,DX,Sample9_DX,3965,30397,5060582
