sample_id,gsm,sample_base,timepoint,total_cells,pred_malignant_cells,pred_normal_cells,pred_malignant_frac,pred_normal_frac,PC1,PC2,state_HSC,state_Prog,state_GMP,state_MonoDC,aux_EryBaso,aux_CLP,ilr_stem_vs_committed,log_aux_erybaso,log_aux_clp
Sample1_DX,GSM7511998,Sample1,DX,4265,4067,198,0.9535756154747947,0.0464243845252051,-1.9169750566764001,0.7642790489139805,0.01307996051332675,0.17645607107601183,0.5841559723593287,0.22630799605133267,0.001477832512315271,0.0004926108374384236,-2.6645360889463685,-6.451703201408812,-7.430972635043291
Sample10_DX,GSM7512012,Sample10,DX,1431,1341,90,0.9371069182389936,0.0628930817610062,0.6326263435552298,-2.954828811064108,0.6176911544227885,0.23688155922038978,0.1424287856071964,0.0029985007496251873,0.0029895366218236174,0.0,2.228573976000549,-5.779734159892575,-9.210340371976182
Sample11_DX,GSM7512013,Sample11,DX,3047,2716,331,0.8913685592385954,0.1086314407614046,0.49523454244190795,0.023018440441402766,0.501728774490972,0.2800614675374568,0.17864003073376872,0.039569727237802534,0.03943973461113159,0.0011057869517139699,1.198836094474037,-3.230449173170851,-6.720622853236411
Sample12_DX,GSM7512014,Sample12,DX,2276,2115,161,0.929261862917399,0.070738137082601,1.8948908960242414,-0.9449933499267995,0.523628462791961,0.13036393264530147,0.1450298750678979,0.20097772949483977,0.08499005964214712,0.0,1.0480358435781243,-2.464045058190759,-9.210340371976182
Sample13_DX,GSM7512015,Sample13,DX,3821,3638,183,0.95210677833028,0.0478932216697199,2.18509885146686,0.8581669612338692,0.2896341463414634,0.033536585365853654,0.17164634146341462,0.5051829268292682,0.0898534697262925,0.0033176665745092617,0.6120316477919782,-2.4084627453852203,-5.6787972489272995
Sample14_DX,GSM7512016,Sample14,DX,4134,3394,740,0.8209966134494436,0.1790033865505563,-1.945486006795052,-0.5652138446799911,0.1066143159166415,0.559347629115071,0.31259438236182424,0.021443672606463304,0.005669949268874963,0.006266786034019696,-0.32672032955504665,-5.1550919907234904,-5.056660483974514
Sample16_DX,GSM7512019,Sample16,DX,4278,2947,1331,0.6888733052828424,0.3111266947171575,-2.9979942617460793,2.8470941922268174,0.12460063897763579,0.10223642172523963,0.07507987220447285,0.6980830670926518,0.2722351121423047,0.0015467904098994587,-0.29412606829472426,-1.3007219410772866,-6.408927091561641
Sample17_DX,GSM7512021,Sample17,DX,3442,2201,1241,0.6394538059267868,0.3605461940732132,-1.438574635929548,-0.4420962694243221,0.14772727272727273,0.12150349650349651,0.04283216783216783,0.6879370629370629,0.11538461538461539,0.004615384615384616,-0.030627352152010727,-2.1586179580254146,-5.356924793501508
Sample18_DX,GSM7512023,Sample18,DX,4848,1657,3191,0.3417904290429043,0.6582095709570958,0.42432421007443455,0.6669281846698075,0.10564304461942259,0.16535433070866146,0.708005249343832,0.020997375328083993,0.06995133819951338,0.0030413625304136255,-0.2128691765931647,-2.6585269028910354,-5.763098646297698
Sample19_DX,GSM7512025,Sample19,DX,4430,3921,509,0.8851015801354402,0.1148984198645598,-2.712128041031022,-1.0983029337101737,0.5434662236987818,0.20431893687707642,0.10077519379844961,0.15143964562569215,0.009365801445009366,0.024083489430024082,1.1372506494647958,-4.660069823313956,-3.7220851336190037
Sample2_DX,GSM7511999,Sample2,DX,3495,2128,1367,0.6088698140200286,0.3911301859799714,-2.21111520305914,-0.3509183241703244,0.42189500640204863,0.11715749039692702,0.10371318822023047,0.3572343149807939,0.18149284253578732,0.019938650306748466,0.8225345710860357,-1.7059882269408595,-3.910092354996235
Sample20_DX,GSM7512027,Sample20,DX,5041,4331,710,0.8591549295774648,0.1408450704225352,-0.7831344131199192,1.3941753830912942,0.3243379571248423,0.3150063051702396,0.2880201765447667,0.07263556116015131,0.05551684088269454,0.02346109175377468,0.47434082614327866,-2.889269230014955,-3.748158581978042
Sample3_DX,GSM7512000,Sample3,DX,2679,2111,568,0.7879805897723031,0.2120194102276969,1.008356092907182,2.550873608315339,0.09659931000492854,0.13011335633316906,0.6338097585017249,0.13947757516017742,0.03380952380952381,0.0,-0.7346443430378742,-3.384059365717481,-9.210340371976182
Sample4_DX,GSM7512002,Sample4,DX,4268,3149,1119,0.7378163074039362,0.2621836925960637,0.2272054752437375,0.8974412154295084,0.06039190491487312,0.7343398650819145,0.19595245743655637,0.009315772566655958,0.00796431984708506,0.00031857279388340236,-0.5231797856348793,-4.820305904862687,-7.7786597431763145
Sample5_DX,GSM7512003,Sample5,DX,2964,2680,284,0.9041835357624832,0.0958164642375168,0.3432213278223348,3.241339870264964,0.3348502085703451,0.37542662116040953,0.25862722791050435,0.031095942358740993,0.009391435011269721,0.0,0.7267552220823139,-4.657365464802399,-9.210340371976182
Sample6_DX,GSM7512006,Sample6,DX,9588,8543,1045,0.8910095953274927,0.1089904046725073,-2.41006189742885,-0.39337191238597585,0.48002861571479666,0.3919160605699296,0.07297007273160844,0.05508525098366519,0.010018859028760018,0.0014144271570014145,1.2265069296640465,-4.593354365672596,-6.492718025714486
Sample7_DX,GSM7512009,Sample7,DX,3457,2577,880,0.74544402661267,0.25455597338733,-2.30009803429112,-5.520853878594872,0.0043426766679826295,0.007500986971969996,0.07816818002368732,0.90998815633636,0.0,0.0003946329913180742,-2.5196112973479208,-9.210340371976182,-7.6116945020726465
Sample8_DX,GSM7512010,Sample8,DX,3057,2737,320,0.8953222113182859,0.1046777886817141,-1.2023825499251122,2.519521265149282,0.2565720294426919,0.4900105152471083,0.11303890641430073,0.14037854889589904,0.29911699779249445,0.0011037527593818985,0.22375074824189495,-1.206586223691696,-6.722311302533155
Sample9_DX,GSM7512011,Sample9,DX,3965,3627,338,0.9147540983606556,0.0852459016393442,-0.7212240374091927,-1.253253469968173,0.20738236122851508,0.0650887573964497,0.04142011834319527,0.6861087630318399,0.011692650334075724,0.00027839643652561246,0.453361983260077,-4.440278794608488,-7.879568138046505
