file,gsm,timepoint,kind
GSM7511998_Sample1D_barcodes.tsv.gz,GSM7511998,,barcodes.tsv
GSM7511998_Sample1D_features.tsv.gz,GSM7511998,,features.tsv
GSM7511998_Sample1D_matrix.mtx.gz,GSM7511998,,matrix.mtx
GSM7511999_Sample2D_barcodes.tsv.gz,GSM7511999,,barcodes.tsv
GSM7511999_Sample2D_features.tsv.gz,GSM7511999,,features.tsv
GSM7511999_Sample2D_matrix.mtx.gz,GSM7511999,,matrix.mtx
GSM7512000_Sample3D_barcodes.tsv.gz,GSM7512000,,barcodes.tsv
GSM7512000_Sample3D_features.tsv.gz,GSM7512000,,features.tsv
GSM7512000_Sample3D_matrix.mtx.gz,GSM7512000,,matrix.mtx
GSM7512001_Sample3E_barcodes.tsv.gz,GSM7512001,,barcodes.tsv
GSM7512001_Sample3E_features.tsv.gz,GSM7512001,,features.tsv
GSM7512001_Sample3E_matrix.mtx.gz,GSM7512001,,matrix.mtx
GSM7512002_Sample4D_barcodes.tsv.gz,GSM7512002,,barcodes.tsv
GSM7512002_Sample4D_features.tsv.gz,GSM7512002,,features.tsv
GSM7512002_Sample4D_matrix.mtx.gz,GSM7512002,,matrix.mtx
GSM7512003_Sample5D_barcodes.tsv.gz,GSM7512003,,barcodes.tsv
GSM7512003_Sample5D_features.tsv.gz,GSM7512003,,features.tsv
GSM7512003_Sample5D_matrix.mtx.gz,GSM7512003,,matrix.mtx
GSM7512004_Sample5E_barcodes.tsv.gz,GSM7512004,,barcodes.tsv
GSM7512004_Sample5E_features.tsv.gz,GSM7512004,,features.tsv
GSM7512004_Sample5E_matrix.mtx.gz,GSM7512004,,matrix.mtx
GSM7512005_Sample5R_barcodes.tsv.gz,GSM7512005,,barcodes.tsv
GSM7512005_Sample5R_features.tsv.gz,GSM7512005,,features.tsv
GSM7512005_Sample5R_matrix.mtx.gz,GSM7512005,,matrix.mtx
GSM7512006_Sample6D_barcodes.tsv.gz,GSM7512006,,barcodes.tsv
GSM7512006_Sample6D_features.tsv.gz,GSM7512006,,features.tsv
GSM7512006_Sample6D_matrix.mtx.gz,GSM7512006,,matrix.mtx
GSM7512007_Sample6E_barcodes.tsv.gz,GSM7512007,,barcodes.tsv
GSM7512007_Sample6E_features.tsv.gz,GSM7512007,,features.tsv
GSM7512007_Sample6E_matrix.mtx.gz,GSM7512007,,matrix.mtx
GSM7512008_Sample6R_barcodes.tsv.gz,GSM7512008,,barcodes.tsv
GSM7512008_Sample6R_features.tsv.gz,GSM7512008,,features.tsv
GSM7512008_Sample6R_matrix.mtx.gz,GSM7512008,,matrix.mtx
GSM7512009_Sample7D_barcodes.tsv.gz,GSM7512009,,barcodes.tsv
GSM7512009_Sample7D_features.tsv.gz,GSM7512009,,features.tsv
GSM7512009_Sample7D_matrix.mtx.gz,GSM7512009,,matrix.mtx
GSM7512010_Sample8D_barcodes.tsv.gz,GSM7512010,,barcodes.tsv
GSM7512010_Sample8D_features.tsv.gz,GSM7512010,,features.tsv
GSM7512010_Sample8D_matrix.mtx.gz,GSM7512010,,matrix.mtx
GSM7512011_Sample9D_barcodes.tsv.gz,GSM7512011,,barcodes.tsv
GSM7512011_Sample9D_features.tsv.gz,GSM7512011,,features.tsv
GSM7512011_Sample9D_matrix.mtx.gz,GSM7512011,,matrix.mtx
GSM7512012_Sample10D_barcodes.tsv.gz,GSM7512012,,barcodes.tsv
GSM7512012_Sample10D_features.tsv.gz,GSM7512012,,features.tsv
GSM7512012_Sample10D_matrix.mtx.gz,GSM7512012,,matrix.mtx
GSM7512013_Sample11D_barcodes.tsv.gz,GSM7512013,,barcodes.tsv
GSM7512013_Sample11D_features.tsv.gz,GSM7512013,,features.tsv
GSM7512013_Sample11D_matrix.mtx.gz,GSM7512013,,matrix.mtx
