gsm,sample_base,timepoint,sample_id,barcodes_file,features_file,matrix_file
GSM7512017,Sample14,EOI,Sample14_EOI,GSM7512017_Sample14E_barcodes.tsv.gz,GSM7512017_Sample14E_features.tsv.gz,GSM7512017_Sample14E_matrix.mtx.gz
GSM7512018,Sample15,EOI,Sample15_EOI,GSM7512018_Sample15E_barcodes.tsv.gz,GSM7512018_Sample15E_features.tsv.gz,GSM7512018_Sample15E_matrix.mtx.gz
GSM7512020,Sample16,EOI,Sample16_EOI,GSM7512020_Sample16E_barcodes.tsv.gz,GSM7512020_Sample16E_features.tsv.gz,GSM7512020_Sample16E_matrix.mtx.gz
GSM7512022,Sample17,EOI,Sample17_EOI,GSM7512022_Sample17E_barcodes.tsv.gz,GSM7512022_Sample17E_features.tsv.gz,GSM7512022_Sample17E_matrix.mtx.gz
GSM7512024,Sample18,EOI,Sample18_EOI,GSM7512024_Sample18E_barcodes.tsv.gz,GSM7512024_Sample18E_features.tsv.gz,GSM7512024_Sample18E_matrix.mtx.gz
GSM7512026,Sample19,EOI,Sample19_EOI,GSM7512026_Sample19E_barcodes.tsv.gz,GSM7512026_Sample19E_features.tsv.gz,GSM7512026_Sample19E_matrix.mtx.gz
GSM7512028,Sample20,EOI,Sample20_EOI,GSM7512028_Sample20E_barcodes.tsv.gz,GSM7512028_Sample20E_features.tsv.gz,GSM7512028_Sample20E_matrix.mtx.gz
GSM7512001,Sample3,EOI,Sample3_EOI,GSM7512001_Sample3E_barcodes.tsv.gz,GSM7512001_Sample3E_features.tsv.gz,GSM7512001_Sample3E_matrix.mtx.gz
GSM7512004,Sample5,EOI,Sample5_EOI,GSM7512004_Sample5E_barcodes.tsv.gz,GSM7512004_Sample5E_features.tsv.gz,GSM7512004_Sample5E_matrix.mtx.gz
GSM7512007,Sample6,EOI,Sample6_EOI,GSM7512007_Sample6E_barcodes.tsv.gz,GSM7512007_Sample6E_features.tsv.gz,GSM7512007_Sample6E_matrix.mtx.gz
