signature,n_genes_defined,n_genes_present,genes_present,genes_missing
HSPC_primitive,8,8,"CD34,PROM1,AVP,MEIS1,HOXA9,KIT,GATA2,MLLT3",
Myeloid_granulocytic,8,8,"MPO,ELANE,AZU1,PRTN3,CTSG,LTF,S100A8,S100A9",
Monocyte_macrophage,8,8,"LYZ,LST1,S100A8,S100A9,FCN1,CTSS,TYROBP,MS4A7",
Erythroid,7,7,"HBB,HBA1,HBA2,ALAS2,KLF1,GYPA,AHSP",
B_cell,6,6,"MS4A1,CD79A,CD79B,BANK1,CD74,IGHM",
T_NK,7,7,"CD3D,CD3E,TRAC,NKG7,GNLY,GZMB,IL7R",
MSC_stromal,8,8,"CXCL12,LEPR,PDGFRA,PDGFRB,VCAM1,KITLG,NT5E,ENG",
Endothelial_vascular,7,7,"PECAM1,VWF,KDR,ESAM,EMCN,CLDN5,FLT1",
Osteolineage_endosteal,7,7,"BGLAP,SPP1,RUNX2,COL1A1,COL1A2,IBSP,ALPL",
Adipocytic,6,6,"ADIPOQ,PLIN1,FABP4,LPL,PPARG,CEBPA",
ECM_matrix,7,7,"COL1A1,COL1A2,COL3A1,FN1,DCN,LUM,MMP2",
Inflammatory,7,7,"IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA",
CXCL12_CXCR4_axis,5,5,"CXCL12,CXCR4,ACKR3,KITLG,VCAM1",
Hypoxia_stress,6,6,"HIF1A,VEGFA,SLC2A1,LDHA,BNIP3,DDIT4",
