signature_score,mean,std,median,sample_id,site,version
HSPC_primitive_score,-0.06485498273234737,0.1604918694073939,-0.08867526829242708,GSM8576301_BM1,BM,v2
Myeloid_granulocytic_score,1.3029155973447575,0.4990144284207195,1.3306668745213417,GSM8576301_BM1,BM,v2
Monocyte_macrophage_score,1.5252768431102894,0.4819593346178781,1.5595855440412247,GSM8576301_BM1,BM,v2
Erythroid_score,1.0235929093310046,0.7755744861574453,0.9892780145009359,GSM8576301_BM1,BM,v2
B_cell_score,0.4199190572997006,0.3004671742740786,0.40041575241088867,GSM8576301_BM1,BM,v2
T_NK_score,-0.07468210438527907,0.178060062081261,-0.10194564008529898,GSM8576301_BM1,BM,v2
MSC_stromal_score,0.1352997646072829,0.23102207807998135,0.12380030964102065,GSM8576301_BM1,BM,v2
Endothelial_vascular_score,0.013437536508506789,0.2422414127528166,-0.03974795886448451,GSM8576301_BM1,BM,v2
Osteolineage_endosteal_score,-0.04116760705728051,0.4635578600002076,-0.1353829118183681,GSM8576301_BM1,BM,v2
Adipocytic_score,-0.0059215394201897,0.2269925663390535,-0.05488745053609212,GSM8576301_BM1,BM,v2
ECM_matrix_score,0.14207334763660692,0.5305742377512277,0.005804296902247819,GSM8576301_BM1,BM,v2
Inflammatory_score,-0.026365104705634013,0.15866358507917877,-0.05808298880713326,GSM8576301_BM1,BM,v2
CXCL12_CXCR4_axis_score,0.46820691006992143,0.3793062986147297,0.524209280014038,GSM8576301_BM1,BM,v2
Hypoxia_stress_score,0.010135525202544288,0.2734819708802236,-0.06552323818206787,GSM8576301_BM1,BM,v2
AML_blast_like_score,0.46169285325503184,0.3186426140350022,0.44911849438944784,GSM8576301_BM1,BM,v2
Primitive_like_AML_score,-0.03738781984491441,0.20982525551357212,-0.06792435256693455,GSM8576301_BM1,BM,v2
Committed_like_AML_score,0.5269795999582718,0.40493527230269055,0.505234180132548,GSM8576301_BM1,BM,v2
Immune_suppression_score,0.008152083177951559,0.16843881694982105,-0.03831440469493037,GSM8576301_BM1,BM,v2
HSPC_primitive_score,0.045684654393156963,0.13644775198045153,0.048496923518420054,GSM8576302_EM1,EM,v2
Myeloid_granulocytic_score,1.1267606894098592,0.26250907722193917,1.1609673309326172,GSM8576302_EM1,EM,v2
Monocyte_macrophage_score,1.3161511220266853,0.3407171343864729,1.3295075661795481,GSM8576302_EM1,EM,v2
Erythroid_score,-0.01918157965416834,0.20403324830783265,-0.0960911865234375,GSM8576302_EM1,EM,v2
B_cell_score,0.25130595751742646,0.15354173959420683,0.24914359728495278,GSM8576302_EM1,EM,v2
T_NK_score,0.0008212592116931186,0.16276308377102713,-0.020394870894295813,GSM8576302_EM1,EM,v2
MSC_stromal_score,-0.029536729792612158,0.1596255060893357,-0.057629373338487416,GSM8576302_EM1,EM,v2
Endothelial_vascular_score,-0.0765976411972354,0.16801026595276247,-0.09892767585367651,GSM8576302_EM1,EM,v2
Osteolineage_endosteal_score,0.22677353859945384,0.2909115531297629,0.2149858084179106,GSM8576302_EM1,EM,v2
Adipocytic_score,-0.07776303618330446,0.15491167157682242,-0.0908683840433756,GSM8576302_EM1,EM,v2
ECM_matrix_score,0.6140172082423622,0.4724790630999111,0.5789413452148438,GSM8576302_EM1,EM,v2
Inflammatory_score,-0.09917931609945367,0.1554947377770057,-0.12072174367450533,GSM8576302_EM1,EM,v2
CXCL12_CXCR4_axis_score,0.15694392206232796,0.17917955304958177,0.1466840207816128,GSM8576302_EM1,EM,v2
Hypoxia_stress_score,0.0389079629344943,0.30436732938617,-0.021659809748331704,GSM8576302_EM1,EM,v2
AML_blast_like_score,0.39270200269197264,0.1673610768530168,0.39191298923273193,GSM8576302_EM1,EM,v2
Primitive_like_AML_score,0.0746248761345298,0.18121412305512682,0.08042918534642718,GSM8576302_EM1,EM,v2
Committed_like_AML_score,0.25550140722676895,0.17313556659373677,0.23789793427785244,GSM8576302_EM1,EM,v2
Immune_suppression_score,-0.0058795595223030935,0.15436961373246275,-0.019372500568987372,GSM8576302_EM1,EM,v2
HSPC_primitive_score,0.003150453112652728,0.12353862146355177,-0.031227429956197737,GSM8576303_BM2,BM,v2
Myeloid_granulocytic_score,1.9299928264397104,1.0797166288918754,2.229784064292908,GSM8576303_BM2,BM,v2
Monocyte_macrophage_score,1.3164028384873463,0.6572923710982667,1.5236202621459962,GSM8576303_BM2,BM,v2
Erythroid_score,1.3369254767055752,0.8207514674448265,1.5914938608805338,GSM8576303_BM2,BM,v2
B_cell_score,0.2624938805931441,0.32021744026529425,0.2452175935588209,GSM8576303_BM2,BM,v2
T_NK_score,-0.060103108112788135,0.17015549624884896,-0.0874325469247377,GSM8576303_BM2,BM,v2
MSC_stromal_score,0.18272042712294595,0.28107514560068547,0.13424869188240598,GSM8576303_BM2,BM,v2
Endothelial_vascular_score,-0.0320095530320687,0.25255011996482635,-0.10155842763402644,GSM8576303_BM2,BM,v2
Osteolineage_endosteal_score,0.16415648339716352,0.8910724118827837,-0.22894471781594414,GSM8576303_BM2,BM,v2
Adipocytic_score,0.007429807353003154,0.34643113905744893,-0.08591884350680921,GSM8576303_BM2,BM,v2
