ecological_program,score_column,gene_symbol,gene_order_within_program,n_genes_defined_in_program,biological_category,used_in_GSE253355,used_in_GSE279576,program_scope,scoring_method,minimum_present_genes_required,fallback_if_fewer_than_2_genes_present,use_raw,opportunity_weight,notes
HSPC_primitive,HSPC_primitive_score,CD34,1,8,Hematopoietic/primitive,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
HSPC_primitive,HSPC_primitive_score,PROM1,2,8,Hematopoietic/primitive,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
HSPC_primitive,HSPC_primitive_score,AVP,3,8,Hematopoietic/primitive,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
HSPC_primitive,HSPC_primitive_score,MEIS1,4,8,Hematopoietic/primitive,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
HSPC_primitive,HSPC_primitive_score,HOXA9,5,8,Hematopoietic/primitive,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
HSPC_primitive,HSPC_primitive_score,KIT,6,8,Hematopoietic/primitive,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
HSPC_primitive,HSPC_primitive_score,GATA2,7,8,Hematopoietic/primitive,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
HSPC_primitive,HSPC_primitive_score,MLLT3,8,8,Hematopoietic/primitive,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Myeloid_granulocytic,Myeloid_granulocytic_score,MPO,1,8,Hematopoietic/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Myeloid_granulocytic,Myeloid_granulocytic_score,ELANE,2,8,Hematopoietic/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Myeloid_granulocytic,Myeloid_granulocytic_score,AZU1,3,8,Hematopoietic/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Myeloid_granulocytic,Myeloid_granulocytic_score,PRTN3,4,8,Hematopoietic/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Myeloid_granulocytic,Myeloid_granulocytic_score,CTSG,5,8,Hematopoietic/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
